date,type,amount,category,note
2026-08-01,income,186.40,platform,YouTube Partner estimated payout
2026-08-01,income,42.00,tips,Twitch bits + Super Chat
2026-08-02,expense,34.99,gear,boom arm used
2026-08-02,expense,0.00,software,Canva free tier — log $0
2026-08-03,income,29.00,digital_product,Gumroad preset pack
2026-08-04,expense,12.00,hosting,static site + custom domain month
2026-08-05,income,75.00,affiliate,tool referral (disclosed)
2026-08-05,expense,40.00,tax_setaside,estimate set-aside 20%
2026-08-06,income,150.00,sponsors,brand short integration
2026-08-07,expense,19.00,education,one used course module
2026-08-07,income,55.00,services,1h channel audit call
